Venue Name,Venue Category,Venue Latitude,Venue Longitude
Meyrick Park Club,Gym / Fitness Center,50.72522077774377,-1.8840617542078248
Bournemouth Pavilion,Theater,50.717786410218075,-1.8747599725522506
Hampton by Hilton Bournemouth,Hotel,50.71897140031078,-1.881915264370959
Primark,Clothing Store,50.7202272495236,-1.882234811782837
Sixty Million Postcards,Bar,50.718446138320424,-1.8796250537884531
Schpoons & Forx,English Restaurant,50.71870062648628,-1.8804459214682845
Roosters Piri Piri,Fast Food Restaurant,50.7222692169472,-1.8681907600059398
Bournemouth Air Show,Arts & Entertainment,50.71855378796033,-1.8674659901598216
Bar So,Bar,50.71771251567274,-1.8790860057419505
La Piccola Italia,Italian Restaurant,50.72296615633582,-1.8654899819079551
Indian Ocean,Indian Restaurant,50.716795517003526,-1.8828830244552173
Brewhouse & Kitchen,Brewery,50.719708595036664,-1.886062542801977
Dean Park,Garden,50.725412113511105,-1.873168793522042
"Oceanarium, The Bournemouth Aquarium",Aquarium,50.71595166291966,-1.8764787909862957
Westbeach,Diner,50.71555148520679,-1.8775028819213628
Lola’s,Tapas Restaurant,50.719712,-1.884499
West Beach Restaurant and Bar,Seafood Restaurant,50.71556796346859,-1.8774826354415532
Chiquito,Mexican Restaurant,50.7186898290841,-1.8789462245368895
Durley Chine,Beach,50.713379540620046,-1.8890219297822686
Subway,Sandwich Place,50.72262968938107,-1.8656676701422539
Inferno,Pub,50.72257400231198,-1.8644732236862183
Sprinkles Gelato,Dessert Shop,50.72290441103008,-1.8654511187320904
"Da Mario, wood-fired pizza",Italian Restaurant,50.72160251584874,-1.8928436070751873
Bournemouth East Cliff,Other Great Outdoors,50.71869673429801,-1.8651652576988755
Bournemouth Pizza Co.,Pizza Place,50.72582832784378,-1.8614874547228282
La Piazza,Italian Restaurant,50.7197118096394,-1.8866766075459396
Oriental Garden,Chinese Restaurant,50.71964378319712,-1.8851375669275858
Mint Leaf Indian Brasserie,Indian Restaurant,50.720077,-1.885176
Troy Turkish Restaurant,Turkish Restaurant,50.72004378358437,-1.8853449696386213
Upper Gardens,Park,50.72702513291062,-1.8960956440425136
Atlantico,Fast Food Restaurant,50.720058188779845,-1.8853561209819296
Hallmark Hotel,Hotel,50.7187423079274,-1.8903717326678728
DYMK,Gay Bar,50.71970886390493,-1.8874338139512048
The Winchester,Bar,50.719720669287724,-1.887661071888708
Subway,Sandwich Place,50.71981694009568,-1.8841385775471042
Sound Circus,Nightclub,50.727092246594765,-1.8612479019098604
Bournemouth Noodle Bar,Noodle House,50.72741530654406,-1.8611416352093773
Triangle,Plaza,50.720030250856375,-1.8852649313514467
Ojo Rojo,Mexican Restaurant,50.71982587573331,-1.884000747441706
KFC,Fast Food Restaurant,50.72017889993224,-1.8839731378263005
The Durley Dean Hotel,Hotel,50.71617021634969,-1.8881965556148625
Premier Inn Bournemouth West Cliff,Hotel,50.720983,-1.891768
Xchange,Gay Bar,50.71994256892994,-1.8854386394827478
Tesco Express,Grocery Store,50.72045989234878,-1.8841204047203064
The Durley Inn (Harvester),English Restaurant,50.71341945298081,-1.8889952286086065
West Cliff Zig Zag,Scenic Lookout,50.71484887206258,-1.8839146360602288
Bournemouth Railway Station (BMH),Train Station,50.7271789510882,-1.864351388816121
Mansfield Hotel Bournemouth,Hotel,50.71573763670073,-1.8874623485258992
Need A Coffee,Café,50.715741,-1.888358
The Dean Park Inn,Hotel,50.731290512419946,-1.8740730951353057
Cememtery Junction Bus Stop,Bus Stop,50.73159058826061,-1.8733577885937027
Chineside,Café,50.71334140904267,-1.8890967636385771
Platform 1,Platform,50.727286548457826,-1.8630211014589086
The Cliffeside Hotel,Hotel,50.71945394216119,-1.8600518169994822
The Garden Restaurant - Cottonwood Boutique Hotel,Hotel,50.71979486465741,-1.8588841918312096
Middle Chine,Beach,50.715089958932,-1.895663860836525
Casa Pepe,French Restaurant,50.72793,-1.860378
